season_id,season_year,driver_champ,team_champ
1,2025,11,6
2,2024,17,6
3,2023,17,9
4,2022,17,9
5,2021,17,7
6,2020,6,7
7,2019,6,7
8,2018,6,7
9,2017,6,7
