car_id,team_id,driver_id,model
1,1,1,A525
2,1,2,A525
3,2,3,AMR25
4,2,4,AMR25
5,3,5,SF-25
6,3,6,SF-25
7,4,7,VF-25
8,4,8,VF-25
9,5,9,C45
10,5,10,C45
11,6,11,MCL39
12,6,12,MCL39
13,7,13,F1 W16
14,7,14,F1 W16
15,8,15,VCARB 02
16,8,16,VCARB 02
17,9,17,RB21
18,9,18,RB21
19,10,19,FW47
20,10,20,FW47
