principle_id,team_id,first_name,last_name,country
1,1,Oliver,Oakes,United Kingdom
2,2,Andy,Cowell,United Kingdom
3,3,Fred,Vasseur,France
4,4,Ayao,Komatsu,Japan
5,5,Jonathan,Wheatley,United Kingdom
6,6,Andrea,Stella,Italy
7,7,Toto,Wolff,Austria
8,8,Laurent,Laurent ,France
9,9,Christian,Horner,United Kingdom
10,10,James,Vowles,United Kingdom
